actor,represents_alliance,alliance,host_side_event_igc1,host_side_event_igc2,host_side_event_igc3,frq_sci,total_time,agg_total_time,agg_frq_sci,participants_CBD_cop18,participants_BBNJ_igc1,participants_BBNJ_igc2,participants_BBNJ_igc3,total_publications,total_citations,avg_citation,degree_centrality,eigen_centrality,agg_total_publications,agg_total_citations,r,indegree
malta,malta,eu,NA,NA,NA,NA,NA,20144,37,3,3,3,NA,8,94,11.75,780,0.00831587946033507,9981,277146,NA,0
marshall islands,marshall islands,AOSIS,0,0,0,2,351,4381,10,1,6,6,NA,NA,NA,NA,NA,NA,111,1891,tuvalu,1
mauritania,mauritania,African Group,NA,NA,NA,NA,NA,9333,8,8,NA,0,NA,1,4,4,45,0.00110321673796229,715,10755,NA,0
mauritius,mauritius,African Group,0,0,0,7,1655,9333,8,2,5,6,NA,9,52,5.77777777777778,225,0.00497886503819216,715,10755,"mauritius, norway, tonga, sri lanka, norway",3
mexico,CLAM,CLAM,0,0,0,2,1495,13452,21,23,6,0,NA,316,3434,10.8670886075949,3091,0.0944514117071121,1779,23382,"chile, chile",1
moldova,moldova,moldova,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
monaco,monaco,monaco,0,1,0,6,2291,2291,6,2,3,4,NA,9,118,13.1111111111111,376,0.00899734143702782,9,118,spain,1
mongolia,mongolia,mongolia,NA,NA,NA,NA,NA,NA,NA,NA,0,2,NA,1,15,15,14,2.08248627358322e-4,1,15,paraguay,1
montenegro,montenegro,montenegro,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,41,3.72727272727273,560,0.00702969533107463,11,41,NA,0
morocco,morocco,African Group,0,0,0,2,358,9333,8,20,2,2,NA,26,151,5.80769230769231,1358,0.0264849892765079,715,10755,NA,0
mozambique,mozambique,African Group,NA,NA,NA,NA,NA,9333,8,9,1,4,NA,4,32,8,130,0.00261386814873721,715,10755,NA,0
myanmar,myanmar,myanmar,0,0,0,1,0,0,0,3,1,2,NA,1,28,28,128,0.00159729510484344,0,0,NA,0
namibia,namibia,African Group,NA,NA,NA,NA,NA,9333,8,19,0,0,NA,2,66,33,80,0.00123135137468981,715,10755,NA,0
nauru,PSIDS,PSIDS,0,0,0,12,4879,5,0,NA,6,0,NA,NA,NA,NA,NA,NA,14,180,"nauru, canada, canada",1
nepal,nepal,nepal,0,0,0,NA,351,0,0,8,3,5,NA,4,34,8.5,23,2.75677877891046e-4,0,0,NA,0
netherlands,netherlands,eu,NA,NA,NA,NA,NA,20144,37,8,9,9,NA,325,12409,38.1815384615385,7477,0.17437838615589701,9981,277146,NA,0
new zealand,new zealand,new zealand,0,0,0,17,12748,12748,17,7,8,6,NA,490,13719,27.9979591836735,5228,0.13914663241673,490,13719,"australia, monaco, new zealand, cameroon, indonesia, japan, canada, usa, china",8
nicaragua,nicaragua,nicaragua,0,0,0,2,186,186,2,1,4,2,NA,4,10,2.5,133,0.00558764564032442,4,10,nicaragua,0
niger,niger,African Group,NA,NA,NA,NA,NA,9333,8,7,0,0,NA,NA,NA,NA,NA,NA,715,10755,NA,0
nigeria,nigeria,African Group,0,0,0,1,2598,9333,8,33,4,14,NA,14,28,2,51,0.00115817653658472,715,10755,"holy see, holy see, nigeria",2
norway,norway,norway,2,1,1,27,13680,13680,27,18,10,7,NA,310,8723,28.1387096774194,7189,0.164315949768324,310,8723,"mauritius, norway, norway, tuvalu, canada, fiji, norway, new zealand, switzerland, usa, canada, mauritius, new zealand, australia, usa, canada, new zealand, norway, eritrea, japan, maldives, new zealand, iceland, usa, norway, new zealand, switzerland, eritrea, japan, singapore, monaco, australia, switzerland, singapore",14
oman,oman,oman,NA,NA,NA,NA,NA,NA,NA,9,3,0,NA,13,225,17.3076923076923,259,0.0061273447705938,13,225,NA,0
pakistan,pakistan,pakistan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,152,4.34285714285714,81,0.00135203260400039,35,152,NA,0
palau,palau,AOSIS,0,0,0,2,215,4381,10,3,2,4,NA,4,266,66.5,62,0.00190343129334924,111,1891,"united kingdom, palau, palau",1
palestine,G77/China,G77/China,0,0,0,17,6994,6994,17,5,0,3,NA,NA,NA,NA,NA,NA,NA,NA,"algeria, cuba, algeria, colombia, mauritius, togo, bangladesh, singapore, philippines, solomon islands, singapore, kenya, palestine, palestine, palestine, palestine, palestine, philippines, morocco, ecuador, china, mauritius, cameroon, mali, tonga, iran, bangladesh, belize, india, cameroon, singapore, thailand, china, senegal, belize, india, cameroon, indonesia, singapore, philippines, jamaica, china, cameroon, india, papua new guinea, philippines, india, indonesia, philippines, cameroon, iran, bahamas, algeria, india, indonesia, china, philippines, cameroon, togo, seychelles, china, mauritius, philippines, china, jamaica, nauru, singapore, algeria, china, thailand, singapore, singapore, algeria, cuba, eritrea, china, singapore, maldives, cuba, indonesia, switzerland, indonesia, brazil, eritrea, indonesia, indonesia, colombia, cuba, palestine, philippines, egypt, palestine, barbados, costa rica, thailand, sudan, indonesia, myanmar, eritrea, philippines, nigeria, iran, singapore, china, indonesia, togo, indonesia, algeria, iran, sri lanka, nicaragua, philippines, philippines, philippines, algeria, indonesia, ecuador, sri lanka, indonesia",41
panama,CLAM,CLAM,NA,NA,NA,NA,NA,13452,21,7,3,3,NA,29,762,26.2758620689655,772,0.0253849428118568,1779,23382,"chile, peru, chile",2
papua new guinea,papua new guinea,AOSIS,0,1,0,6,2133,4381,10,3,8,5,NA,2,49,24.5,141,0.00361551736518944,111,1891,"federated states of micronesia, federated states of micronesia, federated states of micronesia",1
paraguay,Landlocked,paraguay,0,0,0,4,811,811,4,8,5,4,NA,2,1,0.5,48,9.20746458761207e-4,NA,NA,"nepal, paraguay",1
peru,CLAM,CLAM,0,0,0,2,208,13452,21,5,3,3,NA,7,86,12.2857142857143,463,0.0106160435238547,1779,23382,"peru, peru, chile",1
philippines,philippines,philippines,0,0,0,11,4042,4042,11,31,23,19,NA,102,2042,20.0196078431373,1800,0.0429083071297523,102,2042,singapore,1
poland,poland,eu,NA,NA,NA,NA,NA,20144,37,4,4,3,NA,220,2054,9.33636363636364,2880,0.0601565249059806,9981,277146,NA,0
portugal,portugal,eu,NA,NA,NA,NA,NA,20144,37,5,3,6,NA,481,8311,17.2785862785863,8930,0.193429544505891,9981,277146,palestine,1
qatar,qatar,qatar,NA,NA,NA,NA,NA,NA,NA,8,0,0,NA,8,28,3.5,109,0.00289079554763889,8,28,NA,0
republic of congo,republic of congo,African Group,NA,NA,NA,NA,NA,9333,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,715,10755,NA,0
republic of korea,republic of korea,republic of korea,0,0,1,10,3417,3417,10,60,15,15,NA,NA,NA,NA,NA,NA,NA,NA,russian federation,1
romania,romania,eu,NA,NA,NA,NA,NA,20144,37,7,5,7,NA,54,137,2.53703703703704,584,0.00597263146930149,9981,277146,NA,0
russian federation,russian federation,russian federation,0,0,0,21,11376,11376,21,2,7,14,NA,495,3465,7,4501,0.0990202659163034,495,3465,NA,0
rwanda,rwanda,African Group,NA,NA,NA,NA,NA,9333,8,2,0,0,NA,1,10,10,2,2.49995065765299e-5,715,10755,NA,0
saint helena,saint helena,saint helena,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
saint kitts and nevis,saint kitts and nevis,saint kitts and nevis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
saint lucia,CARICOM,CARICOM,0,0,0,2,623,9787,24,1,2,2,NA,1,0,0,11,4.32878873819445e-4,27,258,"saint lucia, usa",1
saint vincent and the grenadines,saint vincent and the grenadines,saint vincent and the grenadines,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
samoa,samoa,PSIDS,0,0,0,2,329,5,0,5,1,6,NA,NA,NA,NA,NA,NA,14,180,"samoa, tuvalu",1
san marino,san marino,san marino,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
sao tome and principe,sao tome and principe,AOSIS,NA,NA,NA,NA,NA,4381,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,111,1891,NA,0
saudi arabia,saudi arabia,saudi arabia,NA,NA,NA,NA,NA,NA,NA,9,8,10,NA,88,832,9.45454545454546,1280,0.0310590364342674,88,832,NA,0
senegal,senegal,African Group,0,0,0,2,1369,9333,8,11,0,0,NA,11,47,4.27272727272727,338,0.00642777515991868,715,10755,"senegal, senegal",0
serbia,serbia,serbia,NA,NA,NA,NA,NA,NA,NA,2,3,0,NA,7,19,2.71428571428571,249,0.00238056340308774,7,19,NA,0
seychelles,seychelles,African Group,1,0,0,4,951,9333,8,7,4,4,NA,8,131,16.375,194,0.00476307902753701,715,10755,fiji,1
sierra leone,sierra leone,African Group,0,0,0,2,0,9333,8,1,3,4,NA,NA,NA,NA,NA,NA,715,10755,sierra leone,0
singapore,singapore,AOSIS,0,0,1,11,6969,4381,10,2,9,10,NA,93,1272,13.6774193548387,1390,0.0301454633291635,111,1891,"holy see, singapore, usa, australia, singapore, japan, togo, russian federation, australia, cameroon, canada, singapore, norway, usa, norway, russian federation, eu, new zealand, norway, australia, solomon islands, usa, eu, eu, switzerland, sierra leone",14
slovakia,slovakia,eu,NA,NA,NA,NA,NA,20144,37,7,5,5,NA,9,42,4.66666666666667,407,0.00459916574193315,9981,277146,NA,0
slovenia,slovenia,eu,NA,NA,NA,NA,NA,20144,37,3,3,2,NA,31,769,24.8064516129032,1163,0.0142551522024535,9981,277146,NA,0
solomon islands,PSIDS,PSIDS,0,0,0,8,1669,18670,53,1,7,0,NA,2,18,9,85,0.00152278103849471,14,180,seychelles,1
somalia,somalia,African Group,NA,NA,NA,NA,NA,9333,8,2,0,0,NA,NA,NA,NA,NA,NA,715,10755,NA,0
south africa,south africa,African Group,0,1,0,NA,245,9333,8,62,4,4,NA,382,7462,19.5340314136126,5786,0.152977582830577,715,10755,NA,0
south sudan,south sudan,African Group,NA,NA,NA,NA,NA,9333,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,715,10755,NA,0
spain,spain,eu,NA,NA,NA,NA,NA,20144,37,16,9,9,NA,975,23582,24.1866666666667,14761,0.297977865397845,9981,277146,spain,0
sri lanka,sri lanka,sri lanka,0,0,0,7,1747,1747,7,2,4,4,NA,9,93,10.3333333333333,290,0.00704317841698336,9,93,"sri lanka, seychelles, ghana, philippines",3
sudan,sudan,African Group,0,0,0,NA,0,9333,8,2,2,3,NA,1,3,3,42,6.14837160506095e-4,715,10755,NA,0
suriname,suriname,CARICOM,NA,NA,NA,NA,NA,9787,24,2,2,2,NA,NA,NA,NA,NA,NA,27,258,NA,0
swaziland,swaziland,African Group,NA,NA,NA,NA,NA,9333,8,5,2,3,NA,1,11,11,NA,NA,715,10755,NA,0
sweden,sweden,eu,1,0,1,NA,0,20144,37,18,7,7,NA,338,15105,44.689349112426,5093,0.118911546443247,9981,277146,NA,0
switzerland,switzerland,switzerland,0,0,0,9,4768,4768,9,14,14,14,NA,167,6178,36.9940119760479,5087,0.129390306385261,167,6178,"republic of korea, singapore, holy see, saint lucia, eu, usa, usa, canada, china, usa, usa, russian federation, switzerland, bangladesh, usa, japan, eu",11
syrian arabic republic,syrian arabic republic,syrian arabic republic,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
taiwan,taiwan,taiwan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,138,1946,14.1014492753623,2214,0.0543743960706379,138,1946,NA,0
tajikistan,tajikistan,Non UNCLOS Party,NA,NA,NA,NA,NA,2398,10,4,0,0,NA,NA,NA,NA,NA,NA,265,2236,NA,0
tanzania,tanzania,African Group,0,0,0,NA,0,9333,8,NA,NA,NA,NA,20,304,15.2,334,0.00707400496379663,715,10755,NA,0
thailand,thailand,thailand,0,0,0,12,890,890,12,42,8,4,NA,83,798,9.6144578313253,970,0.0152035946793946,83,798,NA,0
timor-leste,timor-leste,AOSIS,NA,NA,NA,NA,NA,4381,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,111,0,NA,0
togo,togo,African Group,0,0,0,2,1157,9333,8,2,4,6,NA,NA,NA,NA,NA,NA,715,10755,"togo, kenya",1
tonga,tonga,PSIDS,0,0,0,2,831,18670,53,4,8,8,NA,NA,NA,NA,NA,NA,14,180,tonga,0
trinidad and tobago,CARICOM,CARICOM,0,0,0,7,2689,9787,24,1,4,5,NA,8,85,10.625,64,0.00138152917465922,27,258,solomon islands,1
tunisia,tunisia,African Group,NA,NA,NA,NA,NA,9333,8,1,0,0,NA,87,776,8.91954022988506,728,0.011258833377894,715,10755,NA,0
turkey,Non UNCLOS Party,Non UNCLOS Party,0,0,0,10,2398,2398,10,12,6,2,NA,233,1694,7.27038626609442,2812,0.0338557036065816,265,2236,"colombia, turkey, algeria, colombia, turkey, turkey, colombia, eu",3
turkmenistan,turkmenistan,Non UNCLOS Party,NA,NA,NA,NA,NA,2398,10,1,0,0,NA,NA,NA,NA,NA,NA,265,2236,NA,0
tuvalu,PSIDS,PSIDS,0,0,0,9,2840,5,0,3,0,3,NA,NA,NA,NA,NA,NA,14,180,new zealand,1
uganda,uganda,African Group,0,0,0,NA,0,9333,8,28,0,0,NA,3,21,7,54,7.63940199644996e-4,715,10755,NA,0
ukraine,ukraine,ukraine,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,37,161,4.35135135135135,1277,0.0202286071066085,37,161,NA,0
united arab emirates,united arab emirates,united arab emirates,NA,NA,NA,NA,NA,NA,NA,6,6,0,NA,12,119,9.91666666666667,425,0.00995440746418868,12,119,NA,0
united kingdom,united kingdom,eu,NA,NA,NA,2,NA,20144,37,NA,NA,NA,NA,2063,82987,40.2263693650024,32047,0.73735936032237,9981,277146,NA,0
uruguay,CLAM,CLAM,0,0,0,2,1998,13452,21,4,7,5,NA,33,873,26.4545454545455,815,0.0179180144064475,1779,23382,"chile, chile",1
usa,usa,usa,0,0,0,28,14880,14880,28,16,21,20,NA,4563,228086,49.9859741398203,57107,1,4563,228086,"new zealand, usa, switzerland, philippines, canada, usa, russian federation, new zealand, republic of korea, iceland, peru, venezuela, eu",10
uzbekistan,uzbekistan,Non UNCLOS Party,NA,NA,NA,NA,NA,2398,10,NA,NA,NA,NA,2,47,23.5,30,3.91389281938986e-4,265,2236,NA,0
vanuatu,vanuatu,PSIDS,0,0,0,2,411,5,0,NA,4,0,NA,1,13,13,13,3.06122457613421e-4,14,180,"monaco, cook islands, united kingdom",3
venezuela,Non UNCLOS Party,Non UNCLOS Party,0,0,0,NA,0,2398,10,3,4,5,NA,30,495,16.5,804,0.0217430023051163,265,2236,"mexico, eu, venezuela, china, cuba, iran, nicaragua, venezuela, nicaragua, iran, china, peru, venezuela, nicaragua, iran, china",7
viet nam,viet nam,viet nam,0,0,0,NA,381,381,NA,8,8,7,NA,28,117,4.17857142857143,1141,0.0285164904615767,28,117,NA,0
yemen,yemen,yemen,NA,NA,NA,NA,NA,0,0,2,0,0,NA,2,16,8,27,3.90305225927029e-4,0,0,NA,0
zambia,zambia,African Group,NA,NA,NA,NA,NA,9333,8,6,0,0,NA,NA,NA,NA,NA,NA,715,10755,NA,0
zimbabwe,zimbabwe,African Group,NA,NA,NA,NA,NA,9333,8,10,0,0,NA,1,10,10,16,2.57785819039131e-4,715,10755,NA,0
